#!,Workbook:,Custom,Custom,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,
#!,For more information visit http://aka.ms/hackingstem/,,,
1300,1300,1300,1300,-66.85
1300,1300,1300,1300,-66.22
1300,1300,1300,1300,-65.66
1300,1300,1300,1300,-65.04
1300,1300,1300,1300,-64.35
1300,1300,1300,1300,-63.85
1300,1300,1300,1300,-63.35
1300,1300,1300,1300,-62.85
1300,1300,1300,1300,-62.66
1300,1300,1300,1300,-62.6
1300,1300,1300,1300,-62.6
1300,1300,1300,1300,-62.91
1300,1300,1300,1300,-63.47
1300,1300,1300,1300,-64.6
1300,1300,1300,1300,-65.97
1300,1300,1300,1300,-67.6
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-70.29
1300,1300,1300,1300,-71.85
1300,1300,1300,1300,-72.97
1300,1300,1300,1300,-74.16
1300,1300,1300,1300,-75.1
1300,1300,1300,1300,-75.97
1300,1300,1300,1300,-76.72
1300,1300,1300,1300,-77.16
1300,1300,1300,1300,-77.22
1300,1300,1300,1300,-77.16
1300,1300,1300,1300,-77.29
1300,1300,1300,1300,-77.41
1300,1300,1300,1300,-77.47
1300,1300,1300,1300,-77.6
1300,1300,1300,1300,-77.66
1300,1300,1300,1300,-77.79
1300,1300,1300,1300,-78.04
1300,1300,1300,1300,-78.16
1300,1300,1300,1300,-78.1
1300,1300,1300,1300,-77.97
1300,1300,1300,1300,-77.6
1300,1300,1300,1300,-76.85
1300,1300,1300,1300,-75.72
1300,1300,1300,1300,-74.79
1300,1300,1300,1300,-73.72
1300,1300,1300,1300,-72.85
1300,1300,1300,1300,-72.04
1300,1300,1300,1300,-71.16
1300,1300,1300,1300,-70.66
1300,1300,1300,1300,-70.04
1300,1300,1300,1300,-69.35
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-68.16
1300,1300,1300,1300,-67.72
1300,1300,1300,1300,-67.22
1300,1300,1300,1300,-66.66
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.16
1300,1300,1300,1300,-66.22
1300,1300,1300,1300,-66.35
1300,1300,1300,1300,-66.72
1300,1300,1300,1300,-67.1
1300,1300,1300,1300,-67.54
1300,1300,1300,1300,-68.1
1300,1300,1300,1300,-68.47
1300,1300,1300,1300,-68.72
1300,1300,1300,1300,-68.72
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-68.79
1300,1300,1300,1300,-68.91
1300,1300,1300,1300,-69.16
1300,1300,1300,1300,-69.22
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.6
1300,1300,1300,1300,-69.66
1300,1300,1300,1300,-69.6
1300,1300,1300,1300,-69.54
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.22
1300,1300,1300,1300,-69.1
1300,1300,1300,1300,-69.1
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-69.16
1300,1300,1300,1300,-69.29
1300,1300,1300,1300,-69.41
1300,1300,1300,1300,-69.6
1300,1300,1300,1300,-69.79
1300,1300,1300,1300,-69.85
1300,1300,1300,1300,-70.29
1300,1300,1300,1300,-71.04
1300,1300,1300,1300,-72.41
1300,1300,1300,1300,-73.72
1300,1300,1300,1300,-75.04
1300,1300,1300,1300,-76.1
1300,1300,1300,1300,-77.1
1300,1300,1300,1300,-78.04
1300,1300,1300,1300,-78.79
1300,1300,1300,1300,-79.54
1300,1300,1300,1300,-79.97
1300,1300,1300,1300,-80.35
1300,1300,1300,1300,-80.41
1300,1300,1300,1300,-80.29
1300,1300,1300,1300,-79.72
1300,1300,1300,1300,-78.85
1300,1300,1300,1300,-77.6
1300,1300,1300,1300,-76.35
1300,1300,1300,1300,-74.97
1300,1300,1300,1300,-73.54
1300,1300,1300,1300,-71.97
1300,1300,1300,1300,-70.47
1300,1300,1300,1300,-68.85
1300,1300,1300,1300,-67.16
1300,1300,1300,1300,-65.35
1300,1300,1300,1300,-63.97
1300,1300,1300,1300,-62.66
1300,1300,1300,1300,-61.6
1300,1300,1300,1300,-60.6
1300,1300,1300,1300,-59.66
1300,1300,1300,1300,-58.79
1300,1300,1300,1300,-58.16
1300,1300,1300,1300,-57.72
1300,1300,1300,1300,-57.41
1300,1300,1300,1300,-57.16
1300,1300,1300,1300,-57.22
1300,1300,1300,1300,-57.29
1300,1300,1300,1300,-57.47
1300,1300,1300,1300,-57.85
1300,1300,1300,1300,-58.35
1300,1300,1300,1300,-59.1
1300,1300,1300,1300,-60.35
1300,1300,1300,1300,-61.97
1300,1300,1300,1300,-63.54
1300,1300,1300,1300,-65.29
1300,1300,1300,1300,-67.22
1300,1300,1300,1300,-68.85
1300,1300,1300,1300,-70.16
1300,1300,1300,1300,-71.35
1300,1300,1300,1300,-72.41
1300,1300,1300,1300,-73.16
1300,1300,1300,1300,-73.79
1300,1300,1300,1300,-74.22
1300,1300,1300,1300,-74.35
1300,1300,1300,1300,-74.16
1300,1300,1300,1300,-73.91
1300,1300,1300,1300,-73.6
1300,1300,1300,1300,-73.16
1300,1300,1300,1300,-72.66
1300,1300,1300,1300,-72.04
1300,1300,1300,1300,-71.41
1300,1300,1300,1300,-70.79
1300,1300,1300,1300,-70.29
1300,1300,1300,1300,-69.66
1300,1300,1300,1300,-69.04
1300,1300,1300,1300,-68.41
1300,1300,1300,1300,-67.72
1300,1300,1300,1300,-67.22
1300,1300,1300,1300,-66.85
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.29
1300,1300,1300,1300,-66.1
1300,1300,1300,1300,-66.1
1300,1300,1300,1300,-66.16
1300,1300,1300,1300,-66.29
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.72
1300,1300,1300,1300,-66.6
1300,1300,1300,1300,-66.47
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.35
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.41
1300,1300,1300,1300,-66.29
1300,1300,1300,1300,-66.1
1300,1300,1300,1300,-65.85
1300,1300,1300,1300,-65.54
1300,1300,1300,1300,-65.41
1300,1300,1300,1300,-65.97
1300,1300,1300,1300,-66.79
1300,1300,1300,1300,-68.1
1300,1300,1300,1300,-69.1
1300,1300,1300,1300,-70.22
1300,1300,1300,1300,-71.29
1300,1300,1300,1300,-72.29
1300,1300,1300,1300,-73.41
1300,1300,1300,1300,-74.29
1300,1300,1300,1300,-75.35
1300,1300,1300,1300,-75.97
1300,1300,1300,1300,-76.79
1300,1300,1300,1300,-77.54
1300,1300,1300,1300,-77.91
1300,1300,1300,1300,-78.16
1300,1300,1300,1300,-78.04
1300,1300,1300,1300,-77.66
1300,1300,1300,1300,-76.79
1300,1300,1300,1300,-75.91
1300,1300,1300,1300,-74.79
1300,1300,1300,1300,-73.79
1300,1300,1300,1300,-72.6
1300,1300,1300,1300,-71.47
1300,1300,1300,1300,-70.47
