,,,,kp,ki,kd,,,,,,
,,,,0.2,0,1,,,,,,
,,,,,,,,,,,,
time,error,roll,sample time,p,i,d,pid,,p edited,I edited,d edited,pid edited
60568,-2.78,2.78,0.06,-8.35,-48.3,493,200,,-0.556,0,317.6666667,317.1106667
60623,12.28,-12.28,0.05,36.84,-48.27,410.8,200,,2.456,0,301.2,303.656
60681,19.78,-19.78,0.06,59.34,-48.21,193.97,200,,3.956,0,125,128.956
60738,23.97,-23.97,0.06,71.9,-48.14,110.2,133.96,,4.794,0,69.83333333,74.62733333
60794,24.22,-24.22,0.06,72.65,-48.08,6.7,31.27,,4.844,0,4.166666667,9.010666667
60849,22.22,-22.22,0.05,66.65,-48.01,-54.55,-35.91,,4.444,0,-40,-35.556
60906,18.34,-18.34,0.06,55.03,-47.96,-101.97,-94.91,,3.668,0,-64.66666667,-60.99866667
60964,13.4,-13.4,0.06,40.22,-47.92,-127.69,-135.4,,2.68,0,-82.33333333,-79.65333333
61024,7.72,-7.72,0.06,23.15,-47.9,-142.19,-166.93,,1.544,0,-94.66666667,-93.12266667
61081,3.16,-3.16,0.06,9.47,-47.89,-120.07,-158.49,,0.632,0,-76,-75.368
61137,-1.78,1.78,0.06,-5.35,-47.9,-132.25,-185.5,,-0.356,0,-82.33333333,-82.68933333
61194,-5.91,5.91,0.06,-17.72,-47.91,-108.55,-174.19,,-1.182,0,-68.83333333,-70.01533333
61252,-8.53,8.53,0.06,-25.6,-47.94,-67.89,-141.42,,-1.706,0,-43.66666667,-45.37266667
61309,-10.53,10.53,0.06,-31.6,-47.97,-52.63,-132.2,,-2.106,0,-33.33333333,-35.43933333
61369,-11.41,11.41,0.06,-34.22,-48,-21.87,-104.1,,-2.282,0,-14.66666667,-16.94866667
61428,-11.22,11.22,0.06,-33.66,-48.03,4.77,-76.93,,-2.244,0,3.166666667,0.922666667
61485,-10.22,10.22,0.06,-30.66,-48.06,26.32,-52.41,,-2.044,0,16.66666667,14.62266667
