,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
-29.72,29.72,0.02,,-89.16,,,,
-27.53,27.53,0.02,,-82.59,,,,
-24.91,24.91,0.02,,-74.73,,,,
-21.84,21.84,0.02,,-65.52,,,,
-18.34,18.34,0.02,,-55.02,,,,
-14.78,14.78,0.02,,-44.34,,,,
-11.1,11.1,0.02,,-33.3,,,,
-7.22,7.22,0.02,,-21.66,,,,
-5.22,5.22,0.02,,-15.66,,,,
-1.28,1.28,0.02,,-3.84,,,,
2.34,-2.34,0.02,,7.02,,,,
5.84,-5.84,0.02,,17.52,,,,
7.22,-7.22,0.02,,21.66,,,,
9.84,-9.84,0.02,,29.52,,,,
12.03,-12.03,0.02,,36.09,,,,
13.4,-13.4,0.02,,40.2,,,,
14.15,-14.15,0.02,,42.45,,,,
14.34,-14.34,0.02,,43.02,,,,
13.84,-13.84,0.02,,41.52,,,,
12.72,-12.72,0.02,,38.16,,,,
10.9,-10.9,0.02,,32.7,,,,
8.59,-8.59,0.02,,25.77,,,,
7.16,-7.16,0.02,,21.48,,,,
4.03,-4.03,0.02,,12.09,,,,
0.53,-0.53,0.02,,1.59,,,,
-3.16,3.16,0.02,,-9.48,,,,
-5.22,5.22,0.02,,-15.66,,,,
-9.22,9.22,0.02,,-27.66,,,,
-13.16,13.16,0.02,,-39.48,,,,
-16.91,16.91,0.02,,-50.73,,,,
-20.41,20.41,0.02,,-61.23,,,,
-23.59,23.59,0.02,,-70.77,,,,
-26.28,26.28,0.02,,-78.84,,,,
-28.34,28.34,0.02,,-85.02,,,,
-30.16,30.16,0.02,,-90.48,,,,
-31.47,31.47,0.02,,-94.41,,,,
-32.28,32.28,0.02,,-96.84,,,,
-32.72,32.72,0.02,,-98.16,,,,
-32.72,32.72,0.02,,-98.16,,,,
-32.16,32.16,0.02,,-96.48,,,,
-30.84,30.84,0.02,,-92.52,,,,
-28.97,28.97,0.02,,-86.91,,,,
-26.59,26.59,0.02,,-79.77,,,,
-23.59,23.59,0.02,,-70.77,,,,
-20.09,20.09,0.02,,-60.27,,,,
-18.41,18.41,0.02,,-55.23,,,,
-14.41,14.41,0.02,,-43.23,,,,
-10.47,10.47,0.02,,-31.41,,,,
-6.34,6.34,0.02,,-19.02,,,,
-1.85,1.85,0.02,,-5.55,,,,
2.47,-2.47,0.02,,7.41,,,,
6.84,-6.84,0.02,,20.52,,,,
8.9,-8.9,0.02,,26.7,,,,
12.72,-12.72,0.02,,38.16,,,,
16.15,-16.15,0.02,,48.45,,,,
18.84,-18.84,0.02,,56.52,,,,
20.97,-20.97,0.02,,62.91,,,,
22.47,-22.47,0.02,,67.41,,,,
23.15,-23.15,0.02,,69.45,,,,
23.22,-23.22,0.02,,69.66,,,,
22.53,-22.53,0.02,,67.59,,,,
21.15,-21.15,0.02,,63.45,,,,
19.03,-19.03,0.02,,57.09,,,,
16.28,-16.28,0.02,,48.84,,,,
13.03,-13.03,0.02,,39.09,,,,
9.34,-9.34,0.02,,28.02,,,,
5.22,-5.22,0.02,,15.66,,,,
3.09,-3.09,0.02,,9.27,,,,
