,,,,kp,3,,kd,1.5
,,,,ki,0.05,,,
,,,,p,i,d,pid,
-0.22,0.22,0.02,,-0.66,,,,
3.34,-3.34,0.02,,10.02,,,,
5.09,-5.09,0.02,,15.27,,,,
7.97,-7.97,0.02,,23.91,,,,
10.34,-10.34,0.02,,31.02,,,,
12.09,-12.09,0.02,,36.27,,,,
13.22,-13.22,0.02,,39.66,,,,
13.53,-13.53,0.02,,40.59,,,,
13.22,-13.22,0.02,,39.66,,,,
12.15,-12.15,0.02,,36.45,,,,
10.4,-10.4,0.02,,31.2,,,,
8.03,-8.03,0.02,,24.09,,,,
6.72,-6.72,0.02,,20.16,,,,
3.59,-3.59,0.02,,10.77,,,,
0.03,-0.03,0.02,,0.09,,,,
-3.78,3.78,0.02,,-11.34,,,,
-7.91,7.91,0.02,,-23.73,,,,
-10.22,10.22,0.02,,-30.66,,,,
-14.41,14.41,0.02,,-43.23,,,,
-18.59,18.59,0.02,,-55.77,,,,
-22.59,22.59,0.02,,-67.77,,,,
-26.22,26.22,0.02,,-78.66,,,,
-29.47,29.47,0.02,,-88.41,,,,
-32.16,32.16,0.02,,-96.48,,,,
-34.35,34.35,0.02,,-103.05,,,,
-36.22,36.22,0.02,,-108.66,,,,
-37.41,37.41,0.02,,-112.23,,,,
-38.22,38.22,0.02,,-114.66,,,,
-38.53,38.53,0.02,,-115.59,,,,
-38.35,38.35,0.02,,-115.05,,,,
-37.47,37.47,0.02,,-112.41,,,,
-35.85,35.85,0.02,,-107.55,,,,
-33.47,33.47,0.02,,-100.41,,,,
-30.59,30.59,0.02,,-91.77,,,,
-27.09,27.09,0.02,,-81.27,,,,
-22.91,22.91,0.02,,-68.73,,,,
-18.41,18.41,0.02,,-55.23,,,,
-13.66,13.66,0.02,,-40.98,,,,
-8.78,8.78,0.02,,-26.34,,,,
-6.34,6.34,0.02,,-19.02,,,,
-1.22,1.22,0.02,,-3.66,,,,
3.72,-3.72,0.02,,11.16,,,,
8.34,-8.34,0.02,,25.02,,,,
10.53,-10.53,0.02,,31.59,,,,
14.59,-14.59,0.02,,43.77,,,,
18.09,-18.09,0.02,,54.27,,,,
20.84,-20.84,0.02,,62.52,,,,
22.9,-22.9,0.02,,68.7,,,,
24.4,-24.4,0.02,,73.2,,,,
25.09,-25.09,0.02,,75.27,,,,
25.03,-25.03,0.02,,75.09,,,,
24.09,-24.09,0.02,,72.27,,,,
22.4,-22.4,0.02,,67.2,,,,
19.97,-19.97,0.02,,59.91,,,,
17.03,-17.03,0.02,,51.09,,,,
13.59,-13.59,0.02,,40.77,,,,
9.53,-9.53,0.02,,28.59,,,,
5.28,-5.28,0.02,,15.84,,,,
0.84,-0.84,0.02,,2.52,,,,
-1.35,1.35,0.02,,-4.05,,,,
-5.91,5.91,0.02,,-17.73,,,,
-10.16,10.16,0.02,,-30.48,,,,
-14.35,14.35,0.02,,-43.05,,,,
